"","x"
"1612","groupI"
"1613","groupI"
"1614","groupI"
"1615","groupI"
"1616","groupI"
"1617","groupI"
"1618","groupI"
"1619","groupI"
"1620","groupI"
"1621","groupI"
"1622","groupI"
"1623","groupI"
"1624","groupI"
"1625","groupI"
"1626","groupI"
"1627","groupI"
"1628","groupI"
"1629","groupI"
"1630","groupI"
"1631","groupI"
"1632","groupI"
"1633","groupI"
"1634","groupI"
"1635","groupI"
"1636","groupI"
"1637","groupI"
"1638","groupI"
"1639","groupI"
"1640","groupI"
"1641","groupI"
"1642","groupI"
"1643","groupI"
"1644","groupI"
"1645","groupI"
"1646","groupI"
"1647","groupI"
"1648","groupI"
"1649","groupI"
"1650","groupI"
"1651","groupI"
"1652","groupI"
"1653","groupI"
"1654","groupI"
"1655","groupI"
"1656","groupI"
"1657","groupI"
"1658","groupI"
"1659","groupI"
"1660","groupI"
"1661","groupI"
"1662","groupI"
"1663","groupI"
