File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
26-077_E6_before,26-077,E6,03/27/18,1343,AF,BF,before,1,1,1,3e+05,0,0,3e+05,0,3e+05,3e+05,0,0,jerky swim / freeze
26-077_E7_before,26-077,E7,03/27/18,1516,AP,SR,before,0,31,9,64810,235186,87336,212663,62083,2727,86781,213217,1232,freeze
26-077_E7_before,26-077,E7,03/27/18,1516,AP,SR,before,1,20,9,73847,226153,212553,87447,68664,5183,44450,255550,1928,freeze
26-077_E8_before,26-077,E8,03/27/18,1553,SR,AP,before,0,10,8,175532,124464,263814,36184,175532,0,11652,288347,0,freeze
26-077_E8_before,26-077,E8,03/27/18,1553,SR,AP,before,1,14,7,57173,242827,164500,135500,53590,3583,38480,261520,12324,freeze
27-002_E10_before,27-002,E10,03/12/18,1207,AF , BF,before,0,2,2,282582,17416,205998,93999,199251,83331,0,299999,0,freeze
27-002_E10_before,27-002,E10,03/12/18,1207,AF , BF,before,1,2,2,30431,269569,272522,27478,6000,24431,0,3e+05,0,freeze
27-002_E11_before,27-002,E11,03/12/18,1533,AF , BF,before,0,10,6,220695,77577,68968,229303,67024,153671,142090,156183,0,none
27-002_E11_before,27-002,E11,03/12/18,1533,AF , BF,before,1,8,6,263636,36364,183364,116636,178177,85459,30931,269069,0,none
27-002_E12_before,27-002,E12,03/12/18,1613,AF , BF,before,0,1,1,278978,20240,298454,763,278978,0,0,299219,0,none
27-002_E12_before,27-002,E12,03/12/18,1613,AF , BF,before,1,10,7,197266,102734,194680,105320,134682,62584,63180,236820,1662,none
27-002_E13_before,27-002,E13,3/13/18,1328,AF,BF,before,0,4,4,287227,11450,0,298679,0,287227,279751,18927,0,none
27-002_E13_before,27-002,E13,3/13/18,1328,AF,BF,before,1,3,3,208223,91777,104751,195249,59663,148560,183999,116001,64507,none
27-002_E14_before,27-002,E14,3/13/18,1353,AF,BF,before,0,9,3,184156,109522,0,293677,0,184156,76377,217302,0,none
